Métrica,Árbol de Decisión,Random Forest,Mejor Modelo
Exactitud,0.762184481529727,0.7666084990291739,Random Forest
Precisión,0.9153491941673062,0.9560676392572944,Random Forest
Sensibilidad,0.5818048780487804,0.5626341463414634,Árbol de Decisión
F1-Score,0.7114226066209365,0.7083896327232527,Árbol de Decisión
AUC-ROC,0.8129705171282653,0.8249795823682713,Random Forest
